x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,y,y_1,y_2,y_3,y_4,y_5,y_6
0,201.0,133.0,9.0,0.0,0.0,0.611111,0.240741,0.222222,0.0740741,0.740741,0.333333,1.77778,0.111111,-1.22222,3.11111,-1.88889,1.77778,0.962963,-1.99906,6,4.0,2.0,6.0,4.0,6.0,6.0
1,142.0,33.0,9.0,0.0,0.0,0.499999,0.623609,0.500001,0.349603,110.593,96.7778,128.667,106.333,-41.4444,54.2222,-12.7778,128.667,0.247776,-2.40802,5,0.0,5.0,0.0,5.0,5.0,5.0
2,23.0,188.0,9.0,0.0,0.0,1.66667,0.488888,7.38889,37.2185,30.5926,27.4444,37.7778,26.5556,-9.44444,21.5556,-12.1111,37.7778,0.284148,-2.01451,4,3.0,4.0,5.0,6.0,4.0,4.0
3,156.0,181.0,9.0,0.0,0.0,0.5,0.349603,1.5,0.505525,11.6667,9.0,9.77778,16.2222,-8.0,-5.66667,13.6667,16.2222,0.445979,2.20664,3,4.0,3.0,1.0,3.0,4.0,3.0
4,31.0,42.0,9.0,0.111111,0.0,1.27778,0.685184,0.944444,0.774073,127.037,117.0,141.778,122.333,-30.1111,44.2222,-14.1111,141.778,0.174634,-2.31442,5,2.0,5.0,3.0,5.0,5.0,5.0
5,70.0,197.0,9.0,0.0,0.111111,2.72222,2.01568,5.27778,3.27561,54.8519,48.8889,68.0,47.6667,-17.8889,39.4444,-21.5556,68.0,0.298704,-2.03351,4,1.0,4.0,3.0,5.0,4.0,4.0
6,96.0,133.0,9.0,0.0,0.0,0.0555556,0.0185185,0.222222,0.0296296,0.481482,0.0,1.44444,0.0,-1.44444,2.88889,-1.44444,1.44444,1.0,-2.0944,2,2.0,1.0,2.0,2.0,4.0,2.0
7,62.0,26.0,9.0,0.0,0.0,0.777777,0.272165,0.444444,0.403686,112.222,98.3333,130.889,107.444,-41.6667,56.0,-14.3333,130.889,0.248698,-2.38614,5,5.0,0.0,2.0,5.0,5.0,4.0
8,31.0,96.0,9.0,0.0,0.0,2.33333,3.6,2.77778,6.16296,3.77778,1.0,8.0,2.33333,-8.33333,12.6667,-4.33333,8.0,0.909236,-2.26821,2,5.0,2.0,4.0,2.0,2.0,2.0
9,141.0,62.0,9.0,0.0,0.0,1.88889,2.11852,3.38889,6.37407,27.3704,23.7778,37.6667,20.6667,-10.7778,30.8889,-20.1111,37.6667,0.450305,-1.88841,0,4.0,6.0,6.0,6.0,0.0,0.0
10,119.0,85.0,9.0,0.0,0.0,0.499999,0.299998,0.888887,0.607409,101.037,88.7778,122.556,91.7778,-36.7778,64.5556,-27.7778,122.556,0.275467,-2.18634,5,0.0,2.0,5.0,5.0,6.0,5.0
11,115.0,111.0,9.0,0.0,0.0,0.555556,0.403687,1.94444,1.04172,18.037,9.66667,30.1111,14.3333,-25.1111,36.2222,-11.1111,30.1111,0.679513,-2.33332,2,0.0,3.0,6.0,2.0,2.0,2.0
12,211.0,107.0,9.0,0.111111,0.0,2.55556,2.25185,2.05556,2.81852,16.7407,11.7778,25.7778,12.6667,-14.8889,27.1111,-12.2222,25.7778,0.547173,-2.15946,6,6.0,6.0,1.0,1.0,6.0,6.0
13,92.0,44.0,9.0,0.111111,0.0,0.722223,0.574135,1.16667,1.04881,123.815,113.444,138.111,119.889,-31.1111,42.8889,-11.7778,138.111,0.178428,-2.36728,5,0.0,1.0,6.0,4.0,4.0,5.0
14,40.0,57.0,9.0,0.0,0.0,1.16667,0.722651,1.38889,0.800464,123.556,112.222,139.0,119.444,-34.0,46.3333,-12.3333,139.0,0.192488,-2.37605,5,5.0,5.0,3.0,4.0,6.0,5.0
15,196.0,95.0,9.0,0.0,0.0,1.72222,1.12382,1.33333,1.26491,7.62963,6.77778,10.7778,5.33333,-2.55556,9.44444,-6.88889,10.7778,0.512566,-1.74926,6,6.0,6.0,6.0,6.0,1.0,6.0
16,56.0,243.0,9.0,0.0,0.0,2.22222,5.27407,2.55556,0.829629,6.48148,5.11111,4.88889,9.44444,-4.11111,-4.77778,8.88889,9.44444,0.525437,2.03363,3,0.0,3.0,3.0,3.0,3.0,3.0
17,204.0,156.0,9.0,0.0,0.0,0.5,0.278886,2.0,0.557773,23.7037,17.3333,25.4444,28.3333,-19.1111,5.22222,13.8889,28.3333,0.389034,2.86493,3,1.0,3.0,3.0,3.0,3.0,3.0
18,91.0,247.0,9.0,0.0,0.0,2.66667,1.24722,2.22222,1.42465,12.6296,9.55556,12.4444,15.8889,-9.22222,-0.555556,9.77778,15.8889,0.401833,2.55309,3,6.0,3.0,3.0,5.0,3.0,3.0
19,197.0,182.0,9.0,0.0,0.0,2.22222,1.25904,3.44444,2.82581,55.8519,50.1111,69.1111,48.3333,-17.2222,39.7778,-22.5556,69.1111,0.300643,-2.00156,4,2.0,0.0,0.0,4.0,4.0,4.0
20,125.0,56.0,9.0,0.0,0.0,2.66667,3.64444,2.72222,1.57407,28.6296,26.1111,37.6667,22.1111,-7.55556,27.1111,-19.5556,37.6667,0.41394,-1.81991,0,3.0,0.0,4.0,1.0,0.0,0.0
21,164.0,178.0,9.0,0.222222,0.0,1.38889,0.862965,2.5,1.45556,23.8148,20.2222,21.1111,30.1111,-10.7778,-8.11111,18.8889,30.1111,0.329212,2.19031,3,3.0,0.0,6.0,3.0,3.0,3.0
22,132.0,84.0,9.0,0.0,0.0,3.0,1.22927,0.888889,0.45542,8.88889,7.33333,11.7778,7.55556,-4.66667,8.66667,-4.0,11.7778,0.380483,-2.13694,1,4.0,1.0,0.0,1.0,1.0,1.0
23,187.0,86.0,9.0,0.0,0.0,1.05556,1.06284,3.05556,2.54224,6.7037,4.66667,10.8889,4.55556,-6.11111,12.5556,-6.44444,10.8889,0.594226,-2.05447,6,6.0,6.0,6.0,6.0,6.0,6.0
24,18.0,138.0,9.0,0.0,0.0,0.888889,0.562963,0.833333,0.3,5.74074,7.33333,6.55556,3.33333,4.77778,2.44444,-7.22222,7.33333,0.543871,-0.862108,0,4.0,5.0,3.0,0.0,0.0,0.0
25,222.0,62.0,9.0,0.0,0.0,0.277778,0.250924,0.666667,0.557773,6.40741,4.11111,11.4444,3.66667,-6.88889,15.1111,-8.22222,11.4444,0.680808,-2.03415,6,5.0,4.0,2.0,5.0,6.0,6.0
26,77.0,36.0,9.0,0.0,0.0,0.555556,0.172137,1.05556,0.64693,111.926,98.2222,130.333,107.222,-41.1111,55.2222,-14.1111,130.333,0.24634,-2.38738,5,3.0,5.0,4.0,5.0,5.0,5.0
27,188.0,110.0,9.0,0.0,0.0,0.777778,0.518518,0.777778,0.962963,4.22222,2.77778,7.44444,2.44444,-4.33333,9.66667,-5.33333,7.44444,0.675265,-2.02123,6,6.0,1.0,1.0,0.0,6.0,3.0
28,9.0,236.0,9.0,0.0,0.0,1.83333,3.45556,3.05556,5.52963,11.0741,9.44444,9.44444,14.3333,-4.88889,-4.88889,9.77778,14.3333,0.376554,2.08323,3,0.0,0.0,3.0,3.0,3.0,3.0
29,227.0,69.0,9.0,0.0,0.0,3.61111,45.9296,4.33333,36.4,11.0741,6.88889,16.0,10.3333,-12.5556,14.7778,-2.22222,16.0,0.604281,-2.48187,2,0.0,5.0,2.0,0.0,2.0,2.0
30,24.0,172.0,9.0,0.0,0.0,1.16667,0.91287,9.77778,5.45554,42.037,38.0,50.3333,37.7778,-12.1111,24.8889,-12.7778,50.3333,0.249836,-2.14372,4,3.0,5.0,1.0,4.0,4.0,4.0
31,118.0,126.0,9.0,0.0,0.0,0.666667,0.4,1.83333,2.12222,20.5556,16.1111,28.6667,16.8889,-13.3333,24.3333,-11.0,28.6667,0.437078,-2.1588,1,6.0,1.0,0.0,6.0,1.0,1.0
32,233.0,97.0,9.0,0.0,0.0,0.388889,0.196296,0.555555,0.207407,2.11111,0.111111,5.55556,0.666667,-6.0,10.3333,-4.33333,5.55556,0.984127,-2.19138,2,4.0,6.0,2.0,2.0,2.0,2.0
33,22.0,87.0,9.0,0.0,0.0,1.88889,1.25904,1.16667,0.623611,64.037,55.7778,80.3333,56.0,-24.7778,48.8889,-24.1111,80.3333,0.3097,-2.10507,1,2.0,3.0,4.0,1.0,3.0,1.0
34,96.0,92.0,9.0,0.111111,0.0,3.33333,2.97778,1.77778,0.651851,22.8889,21.7778,29.7778,17.1111,-3.33333,20.6667,-17.3333,29.7778,0.422223,-1.68265,0,6.0,2.0,0.0,0.0,0.0,0.0
35,67.0,64.0,9.0,0.0,0.0,2.11111,2.11852,2.38889,3.44074,22.4815,22.0,28.8889,16.5556,-1.44444,19.2222,-17.7778,28.8889,0.426923,-1.62567,0,6.0,0.0,0.0,3.0,0.0,0.0
36,113.0,96.0,9.0,0.0,0.0,0.944445,0.507407,1.11111,0.34074,3.81481,1.11111,8.55556,1.77778,-8.11111,14.2222,-6.11111,8.55556,0.872222,-2.18623,2,5.0,6.0,6.0,0.0,2.0,2.0
37,67.0,71.0,9.0,0.0,0.0,1.66667,0.888891,1.5,0.299998,125.963,115.556,140.889,121.444,-31.2222,44.7778,-13.5556,140.889,0.179672,-2.33976,5,6.0,4.0,6.0,5.0,5.0,5.0
38,22.0,60.0,9.0,0.0,0.0,0.5,0.3,1.27778,0.729629,19.9259,19.3333,25.7778,14.6667,-1.77778,17.5556,-15.7778,25.7778,0.430484,-1.65005,0,0.0,5.0,0.0,1.0,0.0,0.0
39,148.0,169.0,9.0,0.111111,0.0,1.05556,0.774073,1.83333,2.61111,19.5926,15.1111,18.6667,25.0,-13.4444,-2.77778,16.2222,25.0,0.396121,2.46775,3,5.0,0.0,4.0,4.0,5.0,4.0
40,25.0,41.0,9.0,0.0,0.0,1.0,0.577774,1.5,0.655553,113.407,103.889,131.222,105.111,-28.5556,53.4444,-24.8889,131.222,0.208293,-2.13982,5,4.0,1.0,3.0,5.0,5.0,5.0
41,186.0,173.0,9.0,0.0,0.0,1.44444,0.829631,2.11111,1.98519,17.1481,13.5556,15.5556,22.3333,-10.7778,-4.77778,15.5556,22.3333,0.396433,2.33274,3,6.0,4.0,3.0,5.0,3.0,3.0
42,8.0,93.0,9.0,0.0,0.0,0.833333,0.459468,1.05556,0.928959,19.8889,15.1111,28.8889,15.6667,-14.3333,27.0,-12.6667,28.8889,0.480246,-2.13621,6,6.0,4.0,2.0,1.0,6.0,6.0
43,69.0,81.0,9.0,0.0,0.0,1.83333,2.21111,1.83333,1.01111,19.8519,20.3333,24.6667,14.5556,1.44444,14.4444,-15.8889,24.6667,0.41031,-1.47238,0,6.0,3.0,4.0,0.0,0.0,0.0
44,128.0,144.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,6.0,3.0,6.0,6.0,6.0
45,39.0,124.0,9.0,0.0,0.111111,5.33333,4.77494,6.5,4.54484,7.59259,4.11111,12.8889,5.77778,-10.4444,15.8889,-5.44444,12.8889,0.772152,-2.26575,2,2.0,3.0,2.0,2.0,0.0,2.0
46,53.0,42.0,9.0,0.0,0.0,3.27778,0.712325,0.611111,0.534027,28.2593,24.4444,36.2222,24.1111,-11.4444,23.8889,-12.4444,36.2222,0.337893,-2.06101,1,2.0,1.0,1.0,1.0,0.0,0.0
47,10.0,190.0,9.0,0.0,0.0,2.66667,6.97778,2.5,2.65555,32.963,29.3333,41.1111,28.4444,-10.8889,24.4444,-13.5556,41.1111,0.305705,-2.02004,4,4.0,3.0,4.0,5.0,4.0,4.0
48,137.0,182.0,9.0,0.0,0.0,1.83333,3.85556,3.61111,9.21852,34.9259,31.4444,42.8889,30.4444,-10.4444,23.8889,-13.4444,42.8889,0.285756,-2.00112,4,2.0,1.0,4.0,4.0,4.0,2.0
49,46.0,88.0,9.0,0.0,0.0,1.5,1.36667,1.55556,1.27407,3.2963,0.666667,7.66667,1.55556,-7.88889,13.1111,-5.22222,7.66667,0.929574,-2.21654,2,6.0,1.0,2.0,6.0,2.0,2.0
50,228.0,42.0,9.0,0.111111,0.0,2.05556,1.55516,4.33333,2.23109,44.5556,39.5556,54.1111,40.0,-15.0,28.6667,-13.6667,54.1111,0.271572,-2.12013,1,3.0,1.0,3.0,1.0,1.0,1.0
51,165.0,96.0,9.0,0.0,0.0,2.38889,1.57408,1.72222,1.21852,67.037,61.0,80.2222,59.8889,-18.1111,39.5556,-21.4444,80.2222,0.254595,-2.03634,1,2.0,1.0,1.0,1.0,0.0,1.0
52,224.0,124.0,9.0,0.0,0.0,3.16667,9.54444,7.38889,70.1963,43.1481,39.2222,52.6667,37.5556,-11.7778,28.5556,-16.7778,52.6667,0.290982,-1.98098,1,1.0,2.0,1.0,1.0,1.0,1.0
53,254.0,57.0,9.0,0.0,0.0,0.94444,0.77407,1.38889,1.04074,135.778,129.444,146.667,131.222,-19.0,32.6667,-13.6667,146.667,0.118733,-2.18742,5,5.0,5.0,0.0,4.0,6.0,5.0
54,79.0,47.0,9.0,0.111111,0.0,0.666669,0.355557,1.0,1.15556,126.37,116.0,141.667,121.444,-31.1111,45.8889,-14.7778,141.667,0.181012,-2.31579,5,5.0,6.0,4.0,6.0,5.0,5.0
55,241.0,76.0,9.0,0.0,0.0,0.833332,0.211114,1.33333,0.71111,90.0741,74.5556,116.556,79.1111,-46.5556,79.4444,-32.8889,116.556,0.360194,-2.20802,5,5.0,5.0,5.0,5.0,5.0,5.0
56,36.0,243.0,9.0,0.111111,0.0,1.88889,1.85185,2.0,0.71111,13.3333,9.88889,12.1111,18.0,-10.3333,-3.66667,14.0,18.0,0.452229,2.36831,3,3.0,1.0,3.0,3.0,3.0,3.0
57,18.0,66.0,9.0,0.0,0.0,8.66667,9.08968,10.9444,5.28905,39.8889,32.3333,49.5556,37.7778,-22.6667,29.0,-6.33333,49.5556,0.350169,-2.43063,2,6.0,5.0,2.0,3.0,2.0,2.0
58,183.0,91.0,9.0,0.0,0.0,2.66667,0.894427,0.5,0.547722,14.4444,11.0,21.0,11.3333,-10.3333,19.6667,-9.33333,21.0,0.476783,-2.12846,6,0.0,4.0,4.0,6.0,2.0,6.0
59,52.0,66.0,9.0,0.111111,0.0,1.16667,0.255557,1.83333,2.12223,114.222,106.889,128.778,107.0,-22.0,43.6667,-21.6667,128.778,0.174128,-2.09899,5,3.0,5.0,6.0,1.0,5.0,5.0
60,159.0,180.0,9.0,0.111111,0.0,1.55556,0.874074,3.27778,3.3963,21.2593,18.1111,18.1111,27.5556,-9.44444,-9.44444,18.8889,27.5556,0.358862,2.11392,3,0.0,4.0,1.0,3.0,3.0,3.0
61,150.0,158.0,9.0,0.0,0.0,2.16667,1.63333,1.38889,0.418518,8.44444,7.0,12.2222,6.11111,-4.33333,11.3333,-7.0,12.2222,0.503086,-1.94345,1,1.0,5.0,1.0,1.0,1.0,1.0
62,167.0,135.0,9.0,0.0,0.0,0.611111,0.107407,0.611111,0.151852,31.1852,24.0,43.1111,26.4444,-21.5556,35.7778,-14.2222,43.1111,0.443136,-2.2278,6,2.0,6.0,4.0,6.0,6.0,6.0
63,233.0,81.0,9.0,0.0,0.0,0.611113,0.329631,1.05556,0.551853,90.4074,75.6667,116.444,79.1111,-44.2222,78.1111,-33.8889,116.444,0.350039,-2.18233,5,2.0,0.0,1.0,5.0,5.0,5.0
64,225.0,36.0,9.0,0.0,0.0,0.444445,0.272166,0.388889,0.327731,7.92593,5.0,13.6667,5.11111,-8.77778,17.2222,-8.44444,13.6667,0.634921,-2.1073,6,2.0,5.0,4.0,6.0,3.0,6.0
65,32.0,240.0,9.0,0.0,0.0,1.27778,1.5408,2.27778,1.70511,12.1481,9.77778,9.33333,17.3333,-7.11111,-8.44444,15.5556,17.3333,0.470675,2.04387,3,6.0,5.0,6.0,3.0,1.0,6.0
66,110.0,189.0,9.0,0.0,0.0,1.0,0.666667,1.22222,1.18634,12.9259,10.8889,9.22222,18.6667,-6.11111,-11.1111,17.2222,18.6667,0.508139,1.91086,3,2.0,2.0,5.0,3.0,3.0,1.0
67,112.0,90.0,9.0,0.0,0.0,7.38889,6.94556,1.27778,0.879814,65.1852,57.6667,79.7778,58.1111,-22.5556,43.7778,-21.2222,79.7778,0.278345,-2.10881,1,6.0,1.0,1.0,1.0,1.0,6.0
68,110.0,92.0,9.0,0.111111,0.0,1.88889,4.02963,2.27778,3.52963,7.44444,3.22222,12.6667,6.44444,-12.6667,15.6667,-3.0,12.6667,0.759012,-2.45218,2,5.0,0.0,6.0,2.0,2.0,2.0
69,136.0,216.0,9.0,0.111111,0.0,2.77778,1.32777,2.72222,2.98453,15.0741,11.4444,13.2222,20.5556,-10.8889,-5.55556,16.4444,20.5556,0.441675,2.28457,3,5.0,4.0,4.0,4.0,3.0,3.0
70,63.0,13.0,9.0,0.0,0.0,0.611115,0.196294,1.16667,1.01111,132.259,122.778,145.444,128.556,-28.4444,39.5556,-11.1111,145.444,0.155825,-2.36043,5,2.0,6.0,5.0,5.0,1.0,5.0
71,6.0,54.0,9.0,0.0,0.0,0.611109,0.107408,0.944444,0.551855,116.778,109.111,132.444,108.778,-23.0,47.0,-24.0,132.444,0.181149,-2.07915,5,0.0,3.0,5.0,0.0,5.0,5.0
72,103.0,125.0,9.0,0.0,0.0,0.944445,0.827759,0.833333,0.691215,1.77778,0.444444,3.88889,1.0,-4.0,6.33333,-2.33333,3.88889,0.923809,-2.23756,2,2.0,2.0,5.0,5.0,2.0,6.0
73,155.0,80.0,9.0,0.0,0.0,0.999999,0.177779,1.44445,0.696294,96.3333,82.4444,119.333,87.2222,-41.6667,69.0,-27.3333,119.333,0.309059,-2.22871,5,2.0,5.0,5.0,1.0,5.0,5.0
74,74.0,129.0,9.0,0.0,0.0,0.222222,0.0296296,0.111111,0.0296296,0.518518,0.0,1.55556,0.0,-1.55556,3.11111,-1.55556,1.55556,1.0,-2.0944,2,6.0,4.0,0.0,2.0,3.0,2.0
75,248.0,149.0,9.0,0.0,0.0,1.16667,0.788889,1.05556,0.640741,19.0,14.4444,19.7778,22.7778,-13.6667,2.33333,11.3333,22.7778,0.363717,2.74165,3,3.0,4.0,0.0,3.0,6.0,3.0
76,242.0,164.0,9.0,0.111111,0.0,0.388889,0.534027,3.22222,1.04704,19.8148,15.1111,18.7778,25.5556,-14.1111,-3.11111,17.2222,25.5556,0.409529,2.45981,3,4.0,3.0,3.0,3.0,2.0,3.0
77,187.0,120.0,9.0,0.0,0.0,2.22222,2.08345,1.27778,0.646929,60.037,56.8889,69.3333,53.8889,-9.44444,27.8889,-18.4444,69.3333,0.222808,-1.89298,1,1.0,0.0,3.0,1.0,1.0,1.0
78,160.0,168.0,9.0,0.0,0.0,1.5,1.14988,0.666666,0.471404,25.1111,20.8889,23.0,31.4444,-12.6667,-6.33333,19.0,31.4444,0.335386,2.30212,3,3.0,3.0,3.0,3.0,3.0,3.0
79,118.0,109.0,9.0,0.0,0.111111,3.55556,2.65553,4.0,3.08401,13.2963,7.0,22.3333,10.5556,-18.8889,27.1111,-8.22222,22.3333,0.694627,-2.34409,2,1.0,1.0,2.0,2.0,2.0,2.0
80,239.0,143.0,9.0,0.0,0.0,0.333333,0.0444445,0.666667,0.133333,4.51852,6.11111,5.44444,2.0,4.77778,2.77778,-7.55556,6.11111,0.674074,-0.87829,0,1.0,6.0,2.0,2.0,0.0,0.0
81,71.0,180.0,9.0,0.111111,0.0,1.22222,0.562963,3.0,1.86666,22.3333,18.3333,21.4444,27.2222,-12.0,-2.66667,14.6667,27.2222,0.327383,2.45383,3,2.0,4.0,2.0,3.0,0.0,3.0
82,163.0,177.0,9.0,0.111111,0.0,1.16667,0.7,2.5,0.78889,24.5185,21.2222,21.4444,30.8889,-9.88889,-9.22222,19.1111,30.8889,0.321139,2.12542,3,3.0,5.0,0.0,3.0,1.0,3.0
83,94.0,135.0,9.0,0.0,0.0,2.27778,1.26296,0.555555,0.385185,2.18519,0.777778,4.88889,0.888889,-4.22222,8.11111,-3.88889,4.88889,0.888007,-2.11097,6,5.0,4.0,5.0,6.0,6.0,6.0
84,189.0,62.0,9.0,0.0,0.0,0.388889,0.250924,0.444444,0.344265,7.62963,5.0,13.1111,4.77778,-7.88889,16.4444,-8.55556,13.1111,0.635938,-2.06695,6,3.0,0.0,5.0,1.0,6.0,6.0
85,115.0,183.0,9.0,0.0,0.0,1.05556,0.772202,4.72222,1.02017,19.8519,14.5556,19.0,26.0,-15.8889,-2.55556,18.4444,26.0,0.449942,2.50681,3,0.0,3.0,2.0,3.0,3.0,3.0
86,137.0,163.0,9.0,0.0,0.0,1.44444,0.785186,18.8889,5.54076,39.2963,33.7778,47.5556,36.5556,-16.5556,24.7778,-8.22222,47.5556,0.284813,-2.39521,4,0.0,4.0,4.0,0.0,4.0,4.0
87,215.0,193.0,9.0,0.0,0.0,2.0,0.516399,4.83333,1.29529,45.2222,40.8889,55.3333,39.4444,-13.0,30.3333,-17.3333,55.3333,0.289242,-2.00012,4,1.0,4.0,4.0,4.0,4.0,4.0
88,68.0,115.0,9.0,0.0,0.0,3.33333,3.10555,2.72222,2.79218,26.037,18.4444,39.0,20.6667,-22.7778,38.8889,-16.1111,39.0,0.523538,-2.09065,2,2.0,5.0,4.0,2.0,2.0,2.0
89,154.0,120.0,9.0,0.0,0.0,0.444444,0.0296296,0.444445,0.118518,5.96296,7.77778,6.77778,3.33333,5.44444,2.44444,-7.88889,7.77778,0.569444,-0.820403,0,4.0,0.0,5.0,0.0,0.0,0.0
90,106.0,136.0,9.0,0.0,0.0,0.333333,0.177778,0.388889,0.107407,0.703704,0.111111,1.88889,0.111111,-1.77778,3.55556,-1.77778,1.88889,0.962963,-2.0944,2,2.0,2.0,6.0,6.0,5.0,2.0
91,5.0,101.0,9.0,0.0,0.0,2.33333,2.31111,1.77778,0.607407,16.9259,18.3333,19.8889,12.5556,4.22222,8.88889,-13.1111,20.2222,0.376852,-1.21111,0,5.0,1.0,0.0,6.0,0.0,0.0
92,79.0,57.0,9.0,0.0,0.0,1.72222,1.61852,1.94444,1.97407,26.8148,24.0,36.2222,20.2222,-8.44444,28.2222,-19.7778,36.2222,0.440509,-1.83767,0,1.0,5.0,0.0,0.0,0.0,0.0
